Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
135,28,9,138,8,Some Random Commen with Id 135
136,29,4,56,4,Some Random Commen with Id 136
137,29,4,105,2,Some Random Commen with Id 137
138,29,4,82,6,Some Random Commen with Id 138
139,29,4,167,6,Some Random Commen with Id 139
140,29,4,5,4,Some Random Commen with Id 140
141,29,4,63,5,Some Random Commen with Id 141
142,29,4,86,2,Some Random Commen with Id 142
143,30,4,58,6,Some Random Commen with Id 143
144,30,4,71,6,Some Random Commen with Id 144
145,30,4,81,8,Some Random Commen with Id 145
146,30,4,0,1,Some Random Commen with Id 146
147,30,4,9,9,Some Random Commen with Id 147
148,30,4,156,6,Some Random Commen with Id 148
149,30,4,187,5,Some Random Commen with Id 149
150,31,2,179,1,Some Random Commen with Id 150
151,31,2,94,4,Some Random Commen with Id 151
152,31,2,129,9,Some Random Commen with Id 152
153,33,3,46,5,Some Random Commen with Id 153
154,33,3,151,8,Some Random Commen with Id 154
155,33,3,96,6,Some Random Commen with Id 155
156,33,3,11,9,Some Random Commen with Id 156
157,33,3,48,5,Some Random Commen with Id 157
158,33,3,104,3,Some Random Commen with Id 158
159,33,3,3,1,Some Random Commen with Id 159
160,33,3,143,8,Some Random Commen with Id 160
161,34,0,137,5,Some Random Commen with Id 161
162,34,0,125,2,Some Random Commen with Id 162
163,34,0,135,8,Some Random Commen with Id 163
164,34,0,159,6,Some Random Commen with Id 164
165,34,0,75,1,Some Random Commen with Id 165
166,34,0,90,6,Some Random Commen with Id 166
167,35,7,22,4,Some Random Commen with Id 167
168,36,6,66,7,Some Random Commen with Id 168
169,36,6,38,3,Some Random Commen with Id 169
170,36,6,159,0,Some Random Commen with Id 170
171,36,6,43,1,Some Random Commen with Id 171
172,36,6,75,2,Some Random Commen with Id 172
173,36,6,93,0,Some Random Commen with Id 173
174,36,6,9,4,Some Random Commen with Id 174
175,36,6,154,5,Some Random Commen with Id 175
176,36,6,74,1,Some Random Commen with Id 176
177,37,1,66,1,Some Random Commen with Id 177
178,37,1,53,2,Some Random Commen with Id 178
179,37,1,81,5,Some Random Commen with Id 179
180,37,1,177,0,Some Random Commen with Id 180
181,37,1,28,6,Some Random Commen with Id 181
182,37,1,142,7,Some Random Commen with Id 182
183,37,1,135,1,Some Random Commen with Id 183
184,37,1,48,0,Some Random Commen with Id 184
185,37,1,162,2,Some Random Commen with Id 185
186,38,8,173,6,Some Random Commen with Id 186
187,38,8,71,7,Some Random Commen with Id 187
188,38,8,73,0,Some Random Commen with Id 188
189,38,8,161,1,Some Random Commen with Id 189
190,38,8,109,6,Some Random Commen with Id 190
191,38,8,96,3,Some Random Commen with Id 191
192,39,8,18,5,Some Random Commen with Id 192
193,39,8,195,0,Some Random Commen with Id 193
194,39,8,168,1,Some Random Commen with Id 194
195,39,8,108,3,Some Random Commen with Id 195
196,39,8,115,5,Some Random Commen with Id 196
197,39,8,102,7,Some Random Commen with Id 197
198,39,8,117,2,Some Random Commen with Id 198
199,39,8,180,7,Some Random Commen with Id 199
200,39,8,57,9,Some Random Commen with Id 200
